job_title,job_description,job_requirements,job_deadline
"SDET II (Remote, IND)","We are seeking a passionate and experienced Software Development Engineer in Test (SDET) to join our engineering team responsible for developing automation tools and frameworks focused on performance, stress, and longevity testing for our product. As an SDET, you will play a critical role in ensuring our product's reliability and efficiency by designing and implementing automated tests, tools, and harnesses. This role will also involve collaborating with cross-functional teams to support end-to-end testing and performance evaluations across various platforms.","['4+ years of hands-on experience in test automation, test planning, and test execution, particularly in system-level testing.', 'Proven experience in developing extensible and reusable test frameworks and scripts in a programming or scripting language (Python preferred).', 'Strong understanding of cross-platform testing (Windows, Linux, macOS) and automation of performance and stress testing scenarios.', 'Experience with CI/CD tools and processes such as Jenkins, Bamboo, or similar.', 'Familiarity with version control tools (e.g., Git), test management tools (e.g., TestRail), and issue tracking systems (e.g., Jira).', 'Excellent problem-solving skills, attention to detail, and ability to work independently or in collaboration with cross-functional teams.', 'Experience with automating performance measurement scenarios for complex systems or enterprise applications.', 'Hands-on experience with configuration management and automation tools such as Ansible.', 'Knowledge of cloud environments, such as AWS or GCP, and enterprise application deployments.', '#LI-DP1', '#LI- VJ1', '#LI-Remote']",
"SDET II (Remote, IND)","We are seeking a passionate and experienced Software Development Engineer in Test (SDET) to join our engineering team responsible for developing automation tools and frameworks focused on performance, stress, and longevity testing for our product. As an SDET, you will play a critical role in ensuring our product's reliability and efficiency by designing and implementing automated tests, tools, and harnesses. This role will also involve collaborating with cross-functional teams to support end-to-end testing and performance evaluations across various platforms.","['4+ years of hands-on experience in test automation, test planning, and test execution, particularly in system-level testing.', 'Proven experience in developing extensible and reusable test frameworks and scripts in a programming or scripting language (Python preferred).', 'Strong understanding of cross-platform testing (Windows, Linux, macOS) and automation of performance and stress testing scenarios.', 'Experience with CI/CD tools and processes such as Jenkins, Bamboo, or similar.', 'Familiarity with version control tools (e.g., Git), test management tools (e.g., TestRail), and issue tracking systems (e.g., Jira).', 'Excellent problem-solving skills, attention to detail, and ability to work independently or in collaboration with cross-functional teams.', 'Experience with automating performance measurement scenarios for complex systems or enterprise applications.', 'Hands-on experience with configuration management and automation tools such as Ansible.', 'Knowledge of cloud environments, such as AWS or GCP, and enterprise application deployments.', '#LI-DP1', '#LI-VJ1', '#LI-HM1', '#LI-Remote']",
SDET IT management (Remote),"CrowdStrike is seeking a highly experienced and seasoned SDET for our IT Management Product Group as a lead test automation engineer. As a Senior SDET, you are expected to bring in a comprehensive experience in leading large-scale products and leverage it to drive technical direction, develop automation, and build tools that ensure the quality, reliability, and accuracy of our cloud-based cybersecurity systems. The ideal candidate has a passion for ensuring software quality, developing robust test automation solutions, and collaborating with stakeholders across the organization to deliver high-quality products in a fast-paced environment. If you are a passionate and hands-on technical leader who wants to operate at scale and drive complex testing initiatives and ready to make a significant impact in the cybersecurity space, we encourage you to apply.  About the Product:  CrowdStrike's IT Management is a cloud native solution that enables customers to gain total attack surface visibility and enables cybersecurity teams to assess risk exposure, prioritize threats, act instantly with AI-driven insights and automated remediation. Customers achieve AI-powered vulnerability management to reduce intrusion risk and outpace threats. It is a proactive security platform that consolidates point products with a single platform, console, and agent.","['8+ years of experience in software testing and quality assurance with a strong focus on test automation in a SaaS / product-based companies.', 'Proven track record of designing and implementing test automation for large-scale systems and experienced in developing and enhancing test automation frameworks', 'Must have expert level proficiency in one or more programming languages such as Java, Python and/or Golang.', 'Must have experience of testing distributed systems, web application testing and API testing.', 'Experience with testing tools, and best practices (e.g., Playwright, Cypress, Selenium, JUnit, TestNG, Cucumber)', 'Experience with CI/CD pipelines and tools (e.g., Jenkins, GitLab CI, Azure DevOps)', 'In-depth knowledge of various testing methodologies: behavior, functional, performance, unit, security, contract, etc.', 'Strong understanding of software development lifecycle and agile methodologies', 'Strong experience and proficiency in working with Windows, Linux (various distros) and mac platforms', 'Excellent problem-solving skills and analytical skills along with attention to details.', 'Should possess and demonstrate effective written and oral communication, be a self-starter and highly motivated.', 'Ability to lead and mentor a team of SDETs', 'In addition to above, we expect the engineer assuming this position to:', 'Lead validation effort of the complex features and functionalities with broad impact across multiple teams', 'Collaborate with others to drive complex feature development and resolve poorly understood problems.', 'Provide thought leadership and architectural expertise for quality area, influencing the technical direction product group', 'Volunteer for leadership roles and working groups that impact the product team and the industry.', 'Contribute to strategic and technical planning, identifying areas of greatest need and developing plans for improvement.', 'Provide architectural and design expertise, considering the bigger picture and long-term implications.', 'Work in a dynamic environment and ability to adapt quickly to changes.', ""Embody the organization's culture and best practices, serving as a role model to others."", 'Share best practices and coach/mentor new team members, contributing to the their technical growth', 'Multiply the effectiveness of others by facilitating cross-team work and building consensus across teams.', 'Exposure to or experience with cybersecurity products', 'Existing exposure to Go.', 'Knowledge and hands on experience on using Ansible, Terraform, Vagrant, cloud certifications on AWS/GCP', '#LI-AP1', '#LI-Remote', '#HTF']",
SMB Account Manager (Hybrid),,"['1+ years in sales development and/or 1+ years of full sales cycle experience in an account management or net new logo capacity, selling to a technical audience such as engineers, IT, security, and other related fields.', ""Bachelor's degree is preferred"", 'Light experience and/or understanding of sales qualification frameworks such as Medic, Medpicc, and/or Sandlar', 'Track record of meeting or exceeding expectations in an individually focused, quota and/or metric carrying role.', 'Ability to successfully balance a wide variety of daily tasks and adjust priorities on the fly in a fast-paced environment over multiple engagements.', 'Strong technical aptitude and ability to learn new concepts quickly.', 'Exceptional written and verbal communication skills demonstrated through email, conference calls, client visits and presentations, and internal meetings', 'High level of comfort handling client objections and negotiations.', 'Security or SaaS experience is a plus.', '#LI-JN1', '#LI-HK1']",
SME - Sales Commission,"Reporting to our Global Business Services (“GBS”) Sales Commission Manager, the GBS ‘SME’ will join a fast-paced growing team working with our sales leaders on interesting compensation-related projects.  You must have a can-do attitude, enjoy rolling up your sleeves and being a part of an innovative culture where you can build and provide real time impact on a global scale.","['Bachelor’s Degree in commerce or science.', 'Minimum 6-7 years of sales compensation experience.', 'You must love our business. CrowdStrike is a leader in cybersecurity. We don’t have a mission statement. We are on a mission to protect our customers from breaches. You must be genuinely committed to our mission and eager to learn the details of our business', 'Xactly and Salesforce.com CRM experience is required.', 'Ability to multi-task across a broad range of responsibilities and work in a dynamic environment.', 'Must be self-motivated, have excellent written and verbal communication skills, possess initiative, problem definition and resolution skills, and strong analytical skills.', 'Shift Timing : 5 PM – 2 AM IST (Shift allowance are provided)', 'Work location : Pune (Work from office)', '#LI-SM1', '#LI-HM1']",
Sales Commission Data Analyst (Remote),"Reporting to our Senior Manager, the Sales Commission Data Analyst will join a fast-paced and growing team working with our sales leaders on high-impact sales compensation-related projects.  You must have a can-do attitude, enjoy rolling up your sleeves and being a part of an innovative culture where you can build and provide real time impact on a global scale.","['Minimum of 2-4+ years of progressive experience managing commissions data for a high growth sales team', ""Bachelor's degree in Mathematics, Statistics, Computer Science, Economics, Data Analytics, or a related field"", 'Proven experience in Revenue/Sales Operations, Data Analytics, or Finance', 'High-tech, start-up, rapid growth and/or publicly traded company experience.', 'Experience with Sales Compensation Administration, Governance and design is a plus', 'Experience with sophisticated statistical analysis, predictive modeling, machine learning techniques and data and visualization tools required (e.g., Tableau, CRM Analytics, Power BI, SQL, Python, etc.)', 'Salesforce.com CRM and Xactly experience required', 'Familiarity with statistical tools and methodologies, including but not limited to regression analysis, hypothesis testing, and data sampling techniques', 'Proven ability to lead data-driven projects and communicate the results of sophisticated analyses in a clear and effective manner', 'Exceptional communication, stakeholder management, negotiation, and interpersonal skills', 'You must love our business. CrowdStrike is a leader in cybersecurity. We don’t have a mission statement. We are on a mission to protect our customers from breaches. You must be genuinely committed to our mission and eager to learn the details of our business.', '#LI-Remote', '#LI-MJ1']",12-31-2024
"Sales Development Representative - German Speaking (Hybrid, ESP)","CrowdStrike is seeking an experienced Sales Development Representative to join our growing Corporate Sales Team. We’re seeking driven, results-oriented innovators who are ready to change the game!  This role will be based out of Barcelona and would require 1 to 2 days in the office/ week.","['Passionate about becoming a market expert within the SaaS B2B Security space, and about entering the tech sales world', 'Highly driven extrovert with exceptional communication skills', 'Ability to learn and clearly articulate technical information', 'Track record of exceeding expectations and succeeding in goal-driven, metrics-based environments', 'Detail-oriented, self-disciplined with strong time management and organisational skills.', 'Competitive nature, but also a collaborative team player', 'Written and spoken luency in German and English is a must', 'Business development or inside sales experience is a plus', 'Salesforce.com or other CRM experience also a plus', '#LI-FW1', '#LI-HI1']",
Sales Development Representative - Bangalore,"You will be extremely results driven, customer focused, technologically savvy, and innovative at building internal relationships and external partnerships to attack the market with passion! Focusing on creating business opportunities within enterprise clients across India.   This role requires you to be working from office 5 days a week from our Bangalore office.","['A strong desire to create a successful career in technology sales', 'Technical aptitude and ability to learn new business and technical concepts quickly', 'Competitive nature, but also a collaborative team player', 'Strong presentation skills, both in person and via virtual channels', 'Customer Service background a plus', 'Security and/or SaaS Sales experience a plus', 'Telephone Sales experience preferred but not essential', '#LI-VD1', '#LI-MV1']",
"Sales Development Representative – Ecosystem Partner Lead Generation, Mumbai","We are looking for a highly motivated and results-driven Sales Development Representative (SDR) to work closely with our ecosystem partners to drive lead generation and build a strong sales pipeline. The SDR will identify, qualify, and nurture leads from our partner network, leveraging partner resources and relationships to expand business opportunities.  This role requires you to be working from office 5 days a week in the Mumbai office","['Proven track record of successful collaboration with partners to generate leads.', 'Self-motivated with the ability to work independently and in a team environment.', 'Problem-solving mindset with a strong customer-centric approach.', 'Bachelor’s degree in Business, Marketing, or a related field.', '1-3 years of experience in a sales or lead generation role, within a B2B IT sales environment.', 'Knowledge of the IT & Cloud industry and Cyber Security market', 'Experience working with ecosystem partners or channel partners', 'Strong interpersonal and communication skills.', 'Ability to manage multiple partners and build lasting relationships.', 'Proficiency with CRM systems (e.g., Salesforce) and lead tracking tools.', 'Proficiency with Sales Navigator and other business intelligence tools.', 'Familiarity with digital marketing strategies for lead generation is an advantage.', '#LI-VD1', '#LI-MV1']",
"Regional Sales Manager, Enterprise West",,"['Proven successful track record in a similar role selling high technology products and solutions especially Cyber-Security across multiple segments of Enterprise customers in West', 'Ability to network multiple levels within an account up to C-Level', 'Experience within Cyber Security is preferred', 'Excellent verbal, written and presentation skills', 'Ability to create and deliver value propositions', 'Ability to identify and influence key decision makers', 'Ability to succeed in a quota driven sales environment\xa0at an Enterprise level', 'Proven sales track record', 'Capable of closing solutions and services opportunities', 'Strong business acumen and professionalism. Leadership, accountability qualities required', 'Salesforce.com experience preferable', '#LI-VD1', '#LI-MV1']",
Sales Development Representative (Hybrid),"Operating in a hybrid working model of 3 days in our office and 2 days from home, you will be extremely results driven, customer focused, technologically savvy, and innovative at building internal relationships and external partnerships to attack the market with passion! You will be focused on creating business opportunities within the Enterprise clients.","['A strong desire to create a successful career in technology sales', 'Technical aptitude and ability to learn new business and technical concepts quickly', 'Competitive nature, but also a collaborative team player', 'Strong presentation skills, both in person and via virtual channels', 'Customer Service background a plus', 'Security and/or SaaS Sales experience a plus', 'Telephone Sales experience preferred', '#LI-YB1']",
"Sales Engineer (Remote, CHE)","You will be part of a team responsible for changing what the security market and customers believe is possible with a next-generation endpoint technology.   You should be comfortable working in a fast-paced environment on multiple engagements.   Articulate basic security problems to a diverse set of audiences.  Work collaboratively with Sales, Marketing, Support, and Engineering; the Sales Engineer should be the technical bridge between CrowdStrike and prospects/customers.  Conduct demonstrations and proof of values with ability to present technical concepts to a variety of external audiences up to C-level executives.  This is remote role and we require you to be based in Switzerland","['Experienced in endpoint or network security space – AV, EDR, incident response, forensics, SIEM, firewall, HIPS/IDS, etc.', 'Strong understanding of Windows, macOS, and Linux operating systems', 'Can easily articulate complex security problems to a diverse set of audiences', 'Strong self-starter with the ability to work independently', 'Can work collaboratively with Sales, Marketing, Support, and Engineering; the Sales Engineer should be the technical bridge between CrowdStrike and prospects/customers', 'Excellent communication and presentation skills with the ability to present to a variety of external audiences, including C-level executives', 'Bachelor’s degree or higher in a relevant field', 'Sales engineering background or 5+ years of relevant work experience', 'Ability to travel as required', 'Fluency German and English', 'Experience with malware, threat intelligence, and/or sandbox analysis', 'Experience with programming or scripting languages such as PowerShell, Python, and Bash', 'Experience with virtualization/VDI technologies', 'Experience with large scale cloud platforms such as AWS, Azure, GCP, etc.', 'Understanding of the OSI model', 'Certifications such as CEH, CISSP, OSCP, and SANS', '#LI-FW1', '#LI-Remote']",
"Sales Engineer (Remote, ESP)","Are you ready for your next real security challenge? Are you passionate about helping organizations stop breaches using a platform that just works? If so, CrowdStrike is seeking a Sales Engineer with significant security expertise. You should be able to articulate how current security solutions are designed and deployed, and why they are failing.  You are required to be located in Spain.","['Experienced in endpoint or network security space – AV, EDR, incident response, forensics, SIEM, firewall, HIPS/IDS, etc.', 'Strong understanding of Windows, macOS, and Linux operating systems', 'Can easily articulate complex security problems to a diverse set of audiences', 'Strong self-starter with the ability to work independently', 'Can work collaboratively with Sales, Marketing, Support, and Engineering; the Sales Engineer should be the technical bridge between CrowdStrike and prospects/customers', 'Excellent communication and presentation skills with the ability to present to a variety of external audiences, including C-level executives', 'Bachelor’s degree or higher in a relevant field', 'Sales engineering background or 5+ years of relevant work experience', 'Ability to travel as required', 'Fluency in Portuguese and English', 'Experience with malware, threat intelligence, and/or sandbox analysis', 'Experience with programming or scripting languages such as PowerShell, Python, and Bash', 'Experience with virtualization/VDI technologies', 'Experience with large scale cloud platforms such as AWS, Azure, GCP, etc.', 'Understanding of the OSI model', 'Certifications such as CEH, CISSP, OSCP, and SANS', '#LI-EF1', '#LI-Remote']",
"Sales Engineer (Remote, GBR)",,"['Experienced in endpoint or network security space – AV, EDR, incident response, forensics, SIEM, firewall, HIPS/IDS, etc.', 'Strong understanding of Windows, macOS, and Linux operating systems', 'Can easily articulate complex security problems to a diverse set of audiences', 'Strong self-starter with the ability to work independently', 'Can work collaboratively with Sales, Marketing, Support, and Engineering; the Sales Engineer should be the technical bridge between CrowdStrike and prospects/customers', 'Excellent communication and presentation skills with the ability to present to a variety of external audiences, including C-level executives', 'Sales engineering background or 5+ years of relevant work experience', 'Ability to travel as required', '#LI-BM1']",
Sales Engineering Leader,,"['Line management and leadership experience, including managing teams remotely', 'Pre-sales technical/technical experience', 'A self starter needing low level management time and attention to perform day to day responsibilities', 'Engages management at all levels within a named territory to enhance political alignment', 'Understands the market issues and trends affecting business and use of IT', 'Must be prepared to travel abroad to client meetings where necessary', 'Strong people management & leadership Skills', 'Proven ability to manage senior sales teams', 'Planning and organisational skills', 'Ability to influence departmental management teams', 'Proven problem solving skills', 'Strong customer focus', 'Proven C level relationship building', 'Experience in working with the channel partners', 'Experience working in an IT security business', 'You must have presales experience and excellent technical knowledge within networking and/or security', 'Familiarity with various hacking and exploitation tools and methodologies, common malware families, and Anti-Virus / IDS / IPS evasion techniques.', 'Excellent knowledge and experience with a wide variety of IT technologies and security solutions. Day-to-day operations and interactions will involve the following focus areas:', 'A willingness to be challenged and a strong desire to learn', 'Security certifications, CISSP, CISM, Security+, CEH, etc. are a plus', 'Strong leadership skills with the ability to prioritize and execute in a methodical and disciplined manner. Set and manage expectations with senior stake-holders and team members', 'Excellent communication and presentation skills with the ability to present to a variety of external audiences, including being able to interact with senior executives', 'Exceptional written communication. This role requires an ability to understand and articulate both the business benefits (value proposition) and technical advantages of our products and solutions.', '#LI-VD1']",
"Salesforce Developer (Remote, IND)",,"['8+ years of Salesforce Development experience and an excellent command of development tools', ""Bachelor's degree in Computer Science or equivalent practical experience"", 'Understanding\xa0 with CLM softwares & integration.', 'Security minded and strong working knowledge of vulnerabilities around SOQL, Apex, Flows, LWC, and other areas of the platform that can be leveraged by bad actors', 'Fanatical focus on the seller and partner experience', 'CLM Certifications', 'Salesforce certifications', 'Copado experience', 'Git experience', 'Snowflake experience', 'Location - Remote', 'Shift Timings: 2:00 PM - 11:00 PM IST', '#LI-SM1', '#LI-VG1', '#LI-GP1', '#LI-Remote']",
"Salesforce QA Analyst (Remote, IND)",,"['5+ years of Quality Assurance experience on Salesforce', 'Extremely detail oriented', 'Deep SFDC admin knowledge', 'Understanding of negative and positive use case testing', 'Able to create and document repeatable test cases', 'Strong understanding of release cycles and able to work in a continuous delivery environment', 'Familiarity with Behavior Driven Development (BDD)', 'Strong knowledge around QA tools and writing test scripts', 'QA automation experience', 'Keen ability to learn business processes in a complex organization', 'Desire to improve QA process and create new processes where gaps are identified', 'Experience working in an Agile/Scrum environment', 'Self-motivated and creative.', 'Shift timings- 11AM -8PM IST', '#LI-DP1', '#LI-VJ1', '#LI-Remote']",
"Salesforce QA Automation (Remote, IND)","As the Salesforce QA Lead Engineer within our Go-to-Market Applications team, you will be a driver of CrowdStrike’s growth over the next year and beyond. Our team consists of business analysts, developers, and testers building the next generation of sales tools to drive CrowdStrike growth to $10 billion.","['5+ years of Salesforce Development experience and an excellent command of development tools', ""Bachelor's degree in Computer Science or equivalent practical experience"", 'Worked on Test Automation Framework : Selenium, Robotic Framework, Provar', 'Worked in DevOps Tool :\xa0 Jenkins, Docker etc.', 'Strong understanding of SDLC process, Agile methodologies & best practices.', 'Fanatical focus on the product Detail & business processes', 'Certified Test Automation Engineer ( CTAE)', 'Location - Remote', 'Shift Timings - 2:00 PM - 11:00 PM IST', '#LI-SM1', '#LI-VG1', '#LI-Remote']",
Salesforce Support Engineer (Remote),,"['Bachelor’s degree (technical degree preferred)', '3+ years of software development with at least 3 years of Salesforce application development experience', 'Experience working with Sales Cloud, Service Cloud and CPQ', 'Detail-oriented, organized, self-motivated, hard working, and a great team player with excellent interpersonal skills', 'Excellent written and verbal communication skills required, including experience working with various stakeholders and cross-functional teams', 'Solid understanding of Salesforce Platform Administration', 'Salesforce.com Certified Administrator and Salesforce.com Certified Advanced Administrator', 'Debugging / Troubleshooting errors', 'Expertise in Flow Automations, with the ability to build lightweight code in Apex, including writing comprehensive tests to ensure code coverage', 'Working knowledge of Lightning Web Components and/ or at least 2 years experience writing Javascript code', 'Security minded and strong working knowledge of vulnerabilities around SOQL, Apex, and other areas of the platform that can be leveraged by bad actors', 'Ideally located in the Eastern or Central US Time Zone', 'Platform Developer certification', 'Experience with Salesforce Communities', 'Experience with Copado', 'Experience developing UI', 'Experience developing REST/SOAP API', '#LI-Remote', '#LI-JC3']",12-16-2024
"Sr. Manager, Global Solution Architecture, GSI/Telcos (Remote)",,"['10+ years or equivalent experience in consulting, Sales Engineering or Solution Architecture roles – particularly in the areas of security incident response or managed endpoint security.', '6+ years or equivalent experience in direct management of a technical team', 'Ability to understand and adapt new technologies into complex architectures and processes.', 'Technical understanding of incident response, computer forensics, endpoint security technologies, Security Operations Centers (SOC) and managed services.', 'Motivated and inspiring leader with excellent organizational skills.', 'Strong communicator - written, verbal, and ability to engage with audience.', 'Strong problem-solving skills with ability to implement systematic approaches to scale within a fast-paced environment.', 'BS/MS degree in Computer Science, Engineering or relevant work experience.', 'Business development experience in a consulting and/or services environment', 'Travel as needed both domestically and internationally.', '#LI-SL1', '#LI-Remote']",12-14-2024
ServiceNow Developer (Remote),,"['Bachelor’s degree in computer science or equivalent experience, typically 5+ years of IT Service Management / ServiceNow experience', 'At least three years of software development and two years of ServiceNow application development', 'Good understanding of the ServiceNow Common Service Data Model (CSDM)', 'Solid experience working with CMDB in ServiceNow.', 'ServiceNow Certified Systems Administration (CSA) certification', 'ServiceNow Certified Application Developer certification', 'Self-motivated and creative', 'Understanding of how to build reusable, lightweight code in JavaScript, including writing comprehensive tests to ensure code coverage', 'Working knowledge of at least 2 years experience writing JavaScript code', 'At least 2 years of experience implementing a specific ServiceNow module such as CMDB, HR, Service Portal, ITSM etc.', 'Experience developing REST/SOAP API', 'Experience with ServiceNow version control and update sets', 'Experience with ServiceNow upgrades and skipped update remediation', 'Strong problem solving abilities and communication skills', 'Experience with SDLC methodologies like Agile, Kanban, Scrum, Scaled Agile', 'Security minded and strong working knowledge of vulnerabilities', 'Experience of ServiceNow’s Software and Hardware Asset Management module', 'Certified Implementation Specialist certification in one of the OOTB ServiceNow modules (ITSM, ITBM, ITOM, etc.)', 'ITIL V3 / V4 Foundation or above', '#LI-Remote1', '#LI-NA1']",12-11-2024
Services Training Instructor - SIEM (Remote),"As an Instructor within CrowdStrike's Services Training and Education team focused on our Next-Gen SIEM technology, you will play a pivotal role in empowering our clients to defend against sophisticated cyber threats. This role goes beyond traditional teaching; it involves translating your real-world security experience into actionable insights that help students elevate their defensive capabilities. Leveraging our Next-Gen SIEM module in the Falcon platform, you will guide learners through immersive, hands-on training sessions designed to prepare them for the challenges of an ever-evolving threat landscape. We seek a passionate educator who can inspire and equip our clients to stay ahead of the curve in cybersecurity.    Am I an Instructor Candidate?  Experienced in SIEM: Have you worked at a top SIEM vendor and have a deep background in all things logging and data?  Effective Communicator: Can you simplify complex cybersecurity topics for audiences with varying skill levels?  Storyteller: Can you engage learners by weaving stories that solidify key concepts?  Industry Leader: Are you ready to represent the cutting edge of CrowdStrike’s technology with credibility?  Customer-Focused: Can you adapt and retrain customers who may need to unlearn old habits to embrace new strategies?  Collaborative Learner: Do you thrive in an environment where you can learn from others while also sharing your knowledge?","['You have experience with one or more SIEM/SOAR products.(Splunk, Exabeam, Trellix, Elastic Stack, LogRhythm, QRadar, etc.)', 'Proven experience in delivering technical training to diverse audiences, from IT support staff to executives.', 'Polished and professional demeanor, effective in both technical and executive settings.', 'Strong verbal and written communication skills, capable of simplifying complex topics and engaging an audience.', 'Ability to manage your time effectively and deliver high-quality work with minimal supervision.', 'Eager to continually develop both technical and soft skills.', 'Competent in managing multiple projects and delivering on time.', 'A team player who fosters a collaborative and positive work environment.', 'Ability to travel on occasion.', 'Experience developing and conducting technical training on SIEM and/or log aggregation products.', 'Bachelor’s or Master’s degree in Computer Science, Information Security, Cybersecurity, or related fields.', 'Subject Matter Expertise in one or more of the following domains:', 'SIEM or Log Management: Experience with configuring, managing, and analyzing data from SIEM platforms or log management tools to detect and respond to security incidents.', 'Cloud Security: Proficient in securing cloud environments, including experience with cloud security frameworks, identity and access management, and threat detection in cloud platforms.', 'Identity Protection: Knowledge of identity protection strategies, including multi-factor authentication, identity governance, and monitoring for compromised credentials.', 'Incident Response: Experience in managing or conducting incident response investigations involving advanced threats.', 'Intelligence: experience conducting cyber threat analysis of targeted threat actors, using an established analytic model to produce FINTEL and/or technical output.', 'Digital Forensics: Skilled in using forensic analysis tools to determine the scope of security incidents.', 'Security Engineering: Experience with designing, implementing, and managing security tools and platforms, including endpoint protection, firewalls, and security policy enforcement.', 'Some programming/scripting experience: Python, PowerShell, BASH, etc.', '#LI-JC3', '#LI-AC1', '#LI-Remote', 'This role may require the candidate to periodically undergo and pass alcohol and/or drug test(s) during the course of employment.']",11-27-2024
Site Reliability Engineer (Remote),"CrowdStrike’s Detonations and Threat Analysis (DATA) team is looking for a Site Reliability Engineer (SRE) to help power the next phase of growth of the platform. The role will play a core role in deployment, management, and support of the Falcon Sandbox platform in the public, private, and community environments.","['US person (Green Card or US Citizen) on US soil', 'IaC tools such as Terraform, Ansible, Chef', 'Write code to automate standard practices (Python, BASH, JAVA, other modern languages)', 'MicroService management via HashiCorp stack of tools Nomad, Consul, Vault', 'Network troubleshooting skills', 'VMWare ESXi/ VCenter use and management experience', 'Multi OS environment experience (Mac, Windows, Unix/Linux variants)', 'Ability to support 24 x 7 on-call rotation', 'Good oral and written communication skills', 'US Citizen and ability to perform work on US soil', 'Desire and ability to work in a remote operating environment', 'Previous public sector experience', 'Experience in meeting compliance standards (SOCII, SOX, FedRAMP, etc.)', '#LI-Remote', '#LI-RC1', '#LI-KM1', 'This role will require the candidate to periodically undergo and pass additional background and fingerprint check(s) consistent with government customer requirements.']",10-26-2024
"Software Development Engineer in Test - CharlotteAI (Remote, ROU)","Are you a Software Development Engineer in Test (SDET) / Senior Test Automation Engineer passionate about optimizing development and testing life cycle via tools and process automation? Are you interested in working with Generative AI and large-scale distributed systems?     We are looking for a technical, hands-on Software Development Engineer in Test who will write code daily to develop automation and build tools that accurately ensure the quality, reliability and accuracy of our product. As an SDET in the Charlotte AI team, you will build automation frameworks, define testing strategies, increase the testing coverage of the system and work with cross functional stakeholders to ensure a seamless integration of GenAI in other products/teams. You will collaborate closely with the engineering team to continually enhance service quality. This will involve monitoring test results and regressions, as well as innovating and designing new testing solutions to effectively address relevant use cases and potential regressions. It's a challenging task, especially since we're working with non-deterministic systems and LLMs.  This is an excellent opportunity to join our talented team of technology enthusiasts, learn and also contribute to one of the most revolutionary platforms in cyber security.     Interviewing process: Online","[""Bachelor's or Master's degree in Computer Science, Software Engineering, or a related field."", '5+ years in Quality Assurance and test automation development experience / as an SDET.', 'Hands-on experience with Go, Python, Java or any other modern languages.', 'Good understanding of computer science fundamentals - algorithms & data structures, OS-es, networking, distributed systems etc.', 'Hands-on experience with automated testing frameworks.', 'Experience with continuous integration and delivery tools (e.g., Jenkins, Git, Bitbucket).', 'Experience working with AWS services (S3, EC2, IAM, etc.).', 'Familiarity with Agile development methodologies and working in an Agile environment.', 'Strong communication and collaboration skills to work effectively in a team-oriented environment.', 'Ability to adapt to changing priorities and handle multiple tasks simultaneously.', 'Strong command of English, both oral and written.', '#LI-DM1', '#LI-Remote']",
Software Engineer - CharlotteAI (Remote),"CrowdStrike is looking for a Cloud Software Engineer to join our growing Charlotte AI Engineering Team. Our new colleague will be responsible for building globally distributed, fault-tolerant, and highly scalable cloud ecosystems using Golang and Large Language Models. Prior experience with Golang and LLMs is not required, but will be helpful.   CrowdStrike is a computer security company, but we do not require candidates for this role to have prior security industry experience. We will mentor and train in security topics as needed. We do expect a strong interest in CrowdStrike's mission and a willingness to engage with the needs of our product teams and customers.  About the Product:   CrowdStrike has pioneered the use of artificial intelligence (AI) since we first introduced AI-powered protection to replace signature-based antivirus over 10 years ago, and we’ve continued to deeply integrate it across our platform since.  Using the recent advances in Large Language Models technologies, CrowdStrike introduced Charlotte AI, a new generative AI security analyst. It uses the world’s highest-fidelity security data and it is seamlessly integrated with CrowdStrike’s industry-leading threat hunters, managed detection and response operators, and incident response experts. Charlotte AI engine represents a first of its type offering empowering users of all skill levels to leverage the data available in the Falcon Platform,while reducing security operations complexity and cost.  Learn more about Charlotte AI: https://www.crowdstrike.com/products/charlotte-ai/","['Degree in Computer Science (or professional experience in data structures/algorithms/distributed systems)', 'Prior work experience with big data and microservices', 'Understanding scalability and distributed systems i.e. sharding, partitioning, concurrency, etc', 'Being a team player', 'A thorough understanding of engineering best practices from appropriate testing paradigms to effective peer code reviews and resilient architecture.', 'The ability to thrive in a test-driven, collaborative, and iterative programming environment.', 'The skills to meet your commitments on time and produce high-quality software that is unit tested, code reviewed and checked in regularly for continuous integration.', 'Tech Stack (not mandatory to know everything; a robust learning capacity is essential):', 'Go (Golang)', 'Python', 'Docker', 'Kubernetes', 'AWS', 'Redis / S3 / EC2 / IAM', 'Kafka', 'GIT', 'Cassandra', 'ElasticSearch', 'Existing exposure to Go, AWS, Cassandra, Kafka, Elasticsearch', 'Experience with Language Models, Data Science, Data Engineering', 'Prior experience in the cybersecurity or intelligence fields', '#LI-Remote', '#LI-DM1', '#LI-BP1']",
